TIMESTAMPms	M10RAWIMUxacc	M10RAWIMUxmag	M10RAWIMUyacc	M10RAWIMUymag	M10RAWIMUzacc	M10RAWIMUzmag
56000	192	-279	576	-721	-3776	139
56100	640	-301	1152	-757	-3648	84
56200	1024	-328	1664	-793	-3328	-50
56300	1408	-331	2176	-801	-2944	-96
56400	1664	-330	2624	-796	-2368	-229
56500	1856	-320	2944	-786	-1792	-284
56600	2112	-297	3136	-758	-1280	-378
56700	2176	-284	3264	-738	-768	-409
56800	2240	-257	3392	-690	-256	-483
56896	2240	-231	3392	-665	192	-518
57000	2176	-183	3328	-608	704	-582
57100	2176	-154	3200	-559	1280	-609
57200	2048	-88	3072	-456	1856	-664
57300	1792	-41	2816	-401	2496	-681
57400	1536	36	2368	-292	3136	-697
57500	1344	67	2048	-252	3456	-699
57600	1024	141	1664	-147	3776	-681
57700	704	172	1216	-100	3968	-665
57800	320	234	704	-18	4160	-623
57900	0	263	256	36	4224	-590
58000	-256	310	-128	101	4224	-518
58100	-640	336	-576	139	4160	-475
58200	-960	365	-1024	182	3968	-393
58300	-1152	375	-1408	201	3840	-347
58400	-1408	388	-1728	221	3520	-260
58500	-1664	391	-2112	225	3200	-210
58600	-1920	386	-2432	223	2624	-106
58700	-2176	376	-2688	213	2240	-49
58800	-2304	340	-3008	165	1472	79
58900	-2432	317	-3136	132	768	135
59000	-2496	265	-3200	55	128	226
59100	-2432	233	-3136	15	-384	265
59200	-2304	178	-3008	-57	-1088	315
59300	-2176	154	-2880	-90	-1408	335
59400	-2048	93	-2624	-172	-1856	362
59500	-1856	53	-2432	-230	-2304	380
59600	-1600	-29	-1984	-356	-2880	378
59700	-1216	-74	-1472	-424	-3328	365
59800	-832	-158	-960	-548	-3584	317
59900	-384	-190	-320	-596	-3840	289
60000	-64	-254	128	-684	-3904	204
60100	128	-270	896	-712	-4224	168
60200	576	-305	1088	-758	-3712	80
60300	960	-317	1600	-763	-3520	-8
60400	1280	-335	2048	-801	-3072	-92
60500	1536	-333	2432	-791	-2560	-180
60600	1792	-321	2816	-786	-1984	-280
60700	2048	-301	3072	-762	-1216	-357
60800	2176	-255	3328	-698	-448	-477
60900	2112	-229	3456	-668	0	-524
61000	2112	-192	3328	-613	832	-570
61100	2176	-171	3264	-578	1088	-598
61192	2112	-105	3136	-491	1664	-652
61300	1920	-71	2880	-434	2304	-673
61400	1664	9	2624	-328	2816	-693
61500	1408	56	2176	-302	3328	-728
61600	832	117	1984	-176	3712	-688
61700	832	140	1472	-149	3840	-682
61792	576	202	1088	-53	4032	-645
61900	192	226	640	-26	4224	-628
62000	0	277	192	54	4224	-572
62100	-256	303	-64	88	4288	-534
62200	-640	351	-704	166	4224	-430
62300	-1024	373	-1280	161	3968	-434
62400	-1344	384	-1600	214	3584	-302
62500	-1536	390	-1856	187	3456	-336
62600	-1728	391	-2048	231	3264	-181
62700	-1920	386	-2432	226	2752	-121
62800	-2112	366	-2816	200	2112	-3
62900	-2368	347	-3008	174	1408	66
63000	-2432	294	-3136	101	640	178
63100	-2432	260	-3200	55	-64	237
63200	-2432	204	-3008	-28	-768	292
63300	-2240	181	-3008	-150	-1280	295
63400	-2112	123	-2816	-141	-1600	354
63500	-2048	95	-2624	-261	-2112	346
63600	-1856	14	-2304	-284	-2432	379
63692	-1664	-10	-1920	-331	-2880	382
63800	-1280	-84	-1536	-433	-3200	364
63900	-960	-117	-1152	-482	-3648	348
64000	-576	-176	-576	-575	-3840	301
64100	-320	-198	-192	-601	-3840	279
64200	-192	-234	-64	-656	-3840	235
64300	0	-251	384	-725	-3904	170
64400	448	-298	896	-747	-3776	101
64500	832	-308	1344	-798	-3520	29
64592	1088	-327	1792	-796	-3264	-66
64700	1472	-334	2240	-800	-2816	-124
64800	1728	-329	2688	-798	-2368	-240
64900	1920	-316	2944	-785	-1792	-298
65000	2048	-299	3136	-755	-1152	-374
65100	2048	-290	3200	-740	-768	-406
65200	2176	-263	3328	-706	-448	-466
65300	2176	-251	3392	-722	-64	-494
65400	2304	-206	3392	-623	384	-561
65500	2176	-180	3264	-608	960	-581
65600	2176	-124	3200	-516	1536	-640
65700	1920	-88	3008	-471	1984	-663
65796	1792	-9	2752	-365	2624	-691
65900	1536	21	2368	-318	3072	-696
66000	1344	61	2240	-262	3392	-700
66100	1216	82	1920	-231	3584	-697
66200	960	147	1600	-134	3840	-680
66300	640	183	1152	-66	4032	-658
66400	192	258	512	28	4224	-596
66500	-192	282	64	85	4288	-561
66600	-448	338	-384	149	4224	-463
66700	-896	360	-1088	179	4032	-411
66800	-1152	379	-1664	209	3776	-318
66900	-1472	385	-1792	219	3520	-283
67000	-1664	388	-2112	228	2944	-157
67100	-1984	378	-2496	226	2560	-104
67200	-2176	363	-2880	193	2048	16
67300	-2368	340	-2944	167	1344	81
67400	-2432	295	-3136	102	640	186
67500	-2432	265	-3200	53	0	230
67600	-2432	223	-3136	-1	-448	281
67700	-2368	193	-3072	-46	-768	307
67800	-2240	123	-2880	-146	-1536	357
67900	-1984	82	-2496	-201	-2112	370
68000	-1728	-7	-2176	-326	-2688	380
68100	-1472	-44	-1792	-382	-3136	374
