TIMESTAMPms	M202RAWIMUxacc	M202RAWIMUxmag	M202RAWIMUyacc	M202RAWIMUymag	M202RAWIMUzacc	M202RAWIMUzmag
287488	-832	-333	-2048	49	-2880	-78
287588	-832	-338	-1984	48	-2816	-83
287688	-832	-337	-1920	45	-2880	-81
287788	-768	-332	-1920	46	-2944	-79
287888	-896	-326	-1920	82	-2944	-84
287984	-960	-317	-2240	110	-2752	-76
288084	-960	-292	-2432	176	-2368	-97
288184	-1152	-280	-2816	215	-1920	-112
288284	-1152	-254	-3072	309	-1472	-159
288384	-1216	-233	-3392	363	-832	-198
288492	-1280	-206	-3648	424	128	-294
288584	-1216	-197	-3648	494	1088	-369
288692	-1152	-189	-3328	519	2176	-482
288792	-896	-194	-3008	529	3008	-600
288892	-768	-201	-2496	513	3264	-653
288984	-576	-213	-1856	482	3904	-724
289088	-256	-247	-896	391	4416	-840
289188	-192	-265	-256	344	4544	-868
289288	0	-285	128	286	4352	-898
289388	256	-329	960	165	4352	-940
289488	512	-353	1856	26	3968	-966
289588	768	-403	2688	-63	3584	-938
289688	896	-416	3200	-113	3008	-921
289788	960	-443	3584	-203	2496	-880
289888	1088	-459	3904	-258	1920	-853
289984	1088	-486	4032	-337	1216	-770
290084	1216	-491	4096	-414	256	-768
290184	1024	-500	3968	-426	-640	-604
290284	832	-507	3648	-447	-1408	-521
290392	576	-502	3072	-433	-2240	-410
290488	448	-481	2624	-401	-2752	-313
290588	384	-474	2112	-365	-3200	-261
290688	64	-434	1152	-264	-3520	-173
290788	-192	-432	640	-265	-3520	-166
290888	-192	-407	256	-190	-3584	-123
291008	-448	-356	-512	-29	-3584	-89
291088	-640	-338	-1408	23	-2944	-78
291188	-832	-321	-2176	106	-2624	-89
291288	-1088	-273	-2816	255	-2048	-128
291388	-1152	-251	-3392	318	-1152	-162
291488	-1152	-217	-3584	426	-384	-256
291588	-1216	-203	-3648	500	576	-367
291688	-1088	-195	-3584	493	1472	-455
291788	-960	-198	-3328	531	2432	-512
291888	-1024	-197	-3008	533	2560	-534
291984	-896	-205	-2752	523	2944	-629
292092	-640	-216	-2240	501	3584	-686
292192	-384	-258	-1344	395	4096	-833
292284	-128	-282	-128	305	4480	-898
292384	256	-324	896	183	4352	-934
292484	384	-347	1728	105	4160	-942
292584	704	-386	2432	-14	3840	-942
292692	832	-403	3008	-75	3264	-937
292792	896	-430	3456	-165	2816	-903
292892	960	-455	3712	-245	2240	-860
292988	960	-465	3968	-289	1664	-827
293088	1152	-485	4096	-366	960	-739
293188	1088	-493	4096	-398	192	-695
293288	960	-498	4032	-436	-576	-571
293388	768	-497	3648	-445	-1472	-501
293488	640	-496	3136	-436	-1984	-416
293588	576	-487	2880	-427	-2560	-382
293688	448	-467	2432	-373	-3008	-271
293788	128	-454	1472	-335	-3328	-222
293888	0	-434	896	-258	-3584	-169
293984	-128	-410	192	-241	-3648	-127
294088	-512	-379	-768	-105	-3264	-93
